title;company_name;job_type;description;province;district;street
Software Engineer;Tech Corp;3;Developing software applications;Bình Dương;District X;123 Tech Street
Data Analyst;Data Inc;1;Analyzing company data;Đà Nẵng;District Y;456 Data Avenue
Frontend Developer;Web Solutions;3;Creating web pages and user interfaces;Hồ Chí Minh;District Z;789 Web Road
Backend Developer;Backend Ltd;3;Developing server-side logic and database integration;Hà Nội;District X;101 Backend Lane
Project Manager;Build It;2;Managing projects and teams;Bình Dương;District Y;202 Project Blvd
Product Manager;Innovative Inc;3;Leading product development;Đà Nẵng;District Z;303 Product St.
UX/UI Designer;Creative Co.;1;Designing user-friendly interfaces;Hồ Chí Minh;District X;404 Design Park
DevOps Engineer;Cloud Systems;3;Managing cloud infrastructure;Hà Nội;District Y;505 Cloud Ave
Quality Assurance Tester;Test Now;1;Testing software for bugs and issues;Bình Dương;District Z;606 Test Rd.
HR Manager;People First;2;Managing human resources and recruitment;Đà Nẵng;District X;707 HR Plaza
Marketing Specialist;Market It;2;Creating and managing marketing campaigns;Hồ Chí Minh;District Y;808 Market St.
SEO Specialist;SEO Co.;1;Optimizing websites for search engines;Hà Nội;District Z;909 SEO Way
Business Analyst;Business Pros;2;Analyzing business processes and improving efficiency;Bình Dương;District X;101 Business Park
Content Writer;Content Creators;1;Writing articles and blog posts;Đà Nẵng;District Y;202 Content Blvd
Graphic Designer;Design Studio;1;Creating visual content for marketing;Hồ Chí Minh;District Z;303 Graphic Ave
Software Tester;Test Experts;1;Automating and executing software tests;Hà Nội;District X;404 Test St.
Security Engineer;Secure IT;3;Ensuring software and systems are secure;Bình Dương;District Y;505 Secure Rd.
Database Administrator;DB Experts;3;Managing and optimizing databases;Đà Nẵng;District Z;606 DB Way
Network Engineer;Net Solutions;3;Setting up and managing network systems;Hồ Chí Minh;District X;707 Network Blvd
Customer Support Specialist;Help Desk;2;Providing support for customers;Hà Nội;District Y;808 Support Rd.
